customer_id,total_spent,customer_name,email
6,1593.65,Alice Ingram,tanya62@lee-maldonado.org
10,1325.25,Dennis Ruiz,phillipshoward@mclaughlin.com
19,1294.83,John Adams,jacksoncarolyn@gmail.com
2,1122.11,Stuart Guzman,osborndana@gmail.com
3,1046.36,Amanda Miller,brandon49@martin-davidson.com
30,1015.73,Jenny King,juan95@rose-wade.net
36,966.52,Eric Santiago DVM,mandywallace@orr.net
24,782.61,Michele Walker,brian27@knight.com
39,735.3699999999999,Katherine Phillips,gregorythompson@chavez-jones.com
50,722.22,Caitlin Quinn,lellis@gmail.com
4,709.0899999999999,Mr. John Robinson,michaelday@gmail.com
15,658.03,Warren Mathews,wmartin@yahoo.com
34,627.96,Don Roberts,alexanderjohn@hotmail.com
32,599.1,Robert Gomez,sspencer@tucker-duke.net
23,588.8,Sarah Fisher,kelly78@pham-hall.com
38,583.5,Jaime Sanchez,stephengonzalez@oliver.org
28,577.54,Benjamin Simpson,aedwards@jensen.org
9,569.8399999999999,Jerry Rodriguez,ajohnson@hotmail.com
14,554.23,Curtis Crane,jeanne58@gmail.com
1,535.47,Donald Smith,mmartinez@hotmail.com
44,513.26,Craig Smith,bushaaron@hotmail.com
22,512.73,Eric Reynolds,williamskaren@larson.org
25,503.53000000000003,Brittany Perez,clarklisa@durham.com
12,453.55,Tamara Mendoza,richardramos@gmail.com
37,439.81,Judy Mason,biancagarcia@gmail.com
11,413.21000000000004,Jason Pugh,justin13@hotmail.com
49,412.21,Connie Rodriguez,brandy45@johnson-hernandez.com
20,406.13,Derrick Clark,allisonbradshaw@kirk.com
47,403.3,Sarah Dillon,danieljohnson@hotmail.com
18,392.58,Adam Wilson,vincent53@smith.com
29,385.40999999999997,Jenna Owen,sarajones@jackson.com
5,312.45,Kayla Burnett,judylynch@ellison.com
17,298.95,Jessica Ward,mccallpatrick@gmail.com
8,277.9,Marcus Fleming,jillwhite@gmail.com
45,277.64,Ashlee Banks,nballard@perez-roberts.com
40,257.42,Miguel Jones,jorge82@hunt.com
46,245.95,Margaret Henry MD,xcoleman@gmail.com
41,235.90000000000003,Jennifer Price,mckeemelanie@webb-wang.info
26,186.54,Todd Guerrero,carla33@yahoo.com
33,184.95,Brittany Nguyen,eddiecox@ellis.com
16,142.97,Shannon Patterson,jessica52@romero.info
43,135.42,Juan Hensley,kellyjessica@morgan.com
21,128.96,Rick Sanchez,lwillis@gmail.com
27,79.62,Jamie Hamilton,nrice@le-gonzalez.org
35,48.92,Victoria Meyer,katherinecross@gmail.com
7,17.2,Mrs. Amy Howard,angela49@hotmail.com
